State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.01,BULOH KASAP,ZAHARI SARIP,BN,9186,17495,0.5251,1,L,MNG,0
Johor,N.01,BULOH KASAP,NORSAMSU MOHD YUSOF,PKR,8309,17495,0.4749,0,L,KLH,0
Johor,N.02,JEMENTAH,CHIAM YOK MENG,BN,9335,27657,0.3375,0,L,KLH,0
Johor,N.02,JEMENTAH,TAN CHEN CHOON,PKR,16336,27657,0.5907,1,L,MNG,0
Johor,N.02,JEMENTAH,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,1986,27657,0.0718,0,L,HD,0
Johor,N.03,PEMANIS,CIKGU MALA,PAS,2151,18396,0.1169,0,P,HD,0
Johor,N.03,PEMANIS,DR CHONG,PKR,8304,18396,0.4514,1,L,MNG,0
Johor,N.03,PEMANIS,KOO SHIAW LEE,BN,7941,18396,0.4317,0,L,KLH,0
Johor,N.04,KEMELAH,DR SULAIMAN MOHD NOR,PKR,10836,19317,0.561,1,L,MNG,0
Johor,N.04,KEMELAH,ANUAR BIN ABD. MANAP,BN,8481,19317,0.439,0,L,KLH,0
Johor,N.05,TENANG,SOLIHAN BADRI,PKR,7645,15014,0.5092,1,L,MNG,0
Johor,N.05,TENANG,MOHD AZAHAR BIN IBRAHIM,BN,6575,15014,0.4379,0,L,KLH,0
Johor,N.05,TENANG,USTAZ NASHARUDIN BIN AWANG,PAS,794,15014,0.0529,0,L,HD,0
Johor,N.06,BEKOK,DR S.RAMAKRISHNAN,PKR,9705,16953,0.5725,1,L,MNG,0
Johor,N.06,BEKOK,TAN CHONG,BN,7248,16953,0.4275,0,L,KLH,0
Johor,N.07,BUKIT KEPONG,DR SAHRUDDIN BIN JAMAL,PKR,11665,23818,0.4898,1,L,MNG,0
Johor,N.07,BUKIT KEPONG,HJ MOHD NOOR BIN TAIB,BN,10392,23818,0.4363,0,L,KLH,0
Johor,N.07,BUKIT KEPONG,IQBAL RAZAK,PAS,1761,23818,0.0739,0,L,HD,0
Johor,N.08,BUKIT PASIR,KAPT (B) HJ NAJIB BIN LEP,PAS,9835,17787,0.5529,1,L,MNG,0
Johor,N.08,BUKIT PASIR,NORIAH BINTI MAHAT,BN,7952,17787,0.4471,0,P,KLH,0
Johor,N.09,GAMBIR,DATUK M. ASOJAN,BN,7192,19278,0.3731,0,L,KLH,0
Johor,N.09,GAMBIR,TAN SRI MUHYIDDIN YASSIN,PKR,10280,19278,0.5333,1,L,MNG,0
Johor,N.09,GAMBIR,DATO DR MAHFODZ BIN MOHAMED,PAS,1806,19278,0.0937,0,L,HD,0
Johor,N.10,TANGKAK,EE CHIN LI,PKR,13512,21947,0.6157,1,L,MNG,0
Johor,N.10,TANGKAK,GOH TEE TEE,BN,8435,21947,0.3843,0,L,KLH,0
Johor,N.11,SEROM,ABDULL RAHIM BIN TALIB,BN,9450,23932,0.3949,0,L,KLH,0
Johor,N.11,SEROM,DR FAIZUL AMRI ADNAN,PKR,11774,23932,0.492,1,L,MNG,0
Johor,N.11,SEROM,MUSTAFFA BIN SALLEH,PAS,2708,23932,0.1132,0,L,HD,0
Johor,N.12,BENTAYAN,NG YAK HOWE,PKR,18278,22927,0.7972,1,L,MNG,0
Johor,N.12,BENTAYAN,LEE KIM HENG,BN,4649,22927,0.2028,0,L,KLH,0
Johor,N.13,SIMPANG JERAM,AHMAD HASHIM,BEBAS - POKOK,28,23757,0.0012,0,L,HD,0
Johor,N.13,SIMPANG JERAM,DR. MOHD MAZRI BIN YAHYA,PAS,2136,23757,0.0899,0,L,HD,0
Johor,N.13,SIMPANG JERAM,SALAHUDDIN AYUB,PKR,14640,23757,0.6162,1,L,MNG,0
