Year,State,Citizen Category,Ethnic Group,Value in Thousands
2020,MALAYSIA,Total of employed,n.a,14956.7
2020,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12865.9
2020,MALAYSIA,Malaysian citizens,Bumiputera,8540.2
2020,MALAYSIA,Malaysian citizens,Chinese,3281.6
2020,MALAYSIA,Malaysian citizens,Indians,948.7
2020,MALAYSIA,Malaysian citizens,Others,95.3
2020,MALAYSIA,Non Malaysian citizens,n.a,2090.9
2020,JOHOR,Total of employed,n.a,1775.6
2020,JOHOR,Malaysian citizens,Total Malaysian citizens,1553.6
2020,JOHOR,Malaysian citizens,Bumiputera,910.9
2020,JOHOR,Malaysian citizens,Chinese,527.8
2020,JOHOR,Malaysian citizens,Indians,108.6
2020,JOHOR,Malaysian citizens,Others,6.3
2020,JOHOR,Non Malaysian citizens,n.a,222
2020,KEDAH,Total of employed,n.a,914.7
2020,KEDAH,Malaysian citizens,Total Malaysian citizens,851.8
2020,KEDAH,Malaysian citizens,Bumiputera,668
2020,KEDAH,Malaysian citizens,Chinese,115
2020,KEDAH,Malaysian citizens,Indians,64.2
2020,KEDAH,Malaysian citizens,Others,4.6
2020,KEDAH,Non Malaysian citizens,n.a,62.9
2020,KELANTAN,Total of employed,n.a,680.8
2020,KELANTAN,Malaysian citizens,Total Malaysian citizens,649.3
2020,KELANTAN,Malaysian citizens,Bumiputera,620.5
2020,KELANTAN,Malaysian citizens,Chinese,23.3
2020,KELANTAN,Malaysian citizens,Indians,1.3
2020,KELANTAN,Malaysian citizens,Others,4.3
2020,KELANTAN,Non Malaysian citizens,n.a,31.4
2020,MELAKA,Total of employed,n.a,417.3
2020,MELAKA,Malaysian citizens,Total Malaysian citizens,384.9
2020,MELAKA,Malaysian citizens,Bumiputera,259.8
2020,MELAKA,Malaysian citizens,Chinese,100.4
2020,MELAKA,Malaysian citizens,Indians,23
2020,MELAKA,Malaysian citizens,Others,1.6
2020,MELAKA,Non Malaysian citizens,n.a,32.5
2020,N.SEMBILAN,Total of employed,n.a,474.1
2020,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,416.4
2020,N.SEMBILAN,Malaysian citizens,Bumiputera,252.5
2020,N.SEMBILAN,Malaysian citizens,Chinese,97.3
2020,N.SEMBILAN,Malaysian citizens,Indians,65.5
2020,N.SEMBILAN,Malaysian citizens,Others,1
2020,N.SEMBILAN,Non Malaysian citizens,n.a,57.7
2020,PAHANG,Total of employed,n.a,715.9
2020,PAHANG,Malaysian citizens,Total Malaysian citizens,643.3
2020,PAHANG,Malaysian citizens,Bumiputera,508.8
2020,PAHANG,Malaysian citizens,Chinese,105.1
2020,PAHANG,Malaysian citizens,Indians,27.8
2020,PAHANG,Malaysian citizens,Others,1.5
2020,PAHANG,Non Malaysian citizens,n.a,72.6
2020,P.PINANG,Total of employed,n.a,832.9
2020,P.PINANG,Malaysian citizens,Total Malaysian citizens,730.7
2020,P.PINANG,Malaysian citizens,Bumiputera,337.7
2020,P.PINANG,Malaysian citizens,Chinese,323.7
